,Place Name,Postal Code,Town Name,Region 1,Region 2,City / Town
0,Hobsonville,6270,Aberdeen,Eastern Cape,Cacadu (DC10),Aberdeen
1,Lotusville,6270,Aberdeen,Eastern Cape,Cacadu (DC10),Aberdeen
2,Suidlokasie,6270,Aberdeen,Eastern Cape,Cacadu (DC10),Aberdeen
3,Thembalesizwe,6270,Aberdeen,Eastern Cape,Cacadu (DC10),Aberdeen
4,Aberdeen,6270,Aberdeen,Eastern Cape,Cacadu (DC10),Aberdeen
5,Soeknog,1227,Acornhoek,Mpumalanga,Ehlanzeni (DC32),Acornhoek
6,Dingledale,1360,Acornhoek,Mpumalanga,Ehlanzeni (DC32),Acornhoek
7,Wales,1360,Acornhoek,Mpumalanga,Ehlanzeni (DC32),Acornhoek
8,Acornhoek,1360,Nelspruit,Mpumalanga,Ehlanzeni (DC32),Acornhoek
9,Cottondale,1361,Acornhoek,Mpumalanga,Ehlanzeni (DC32),Acornhoek
10,Thulamahashe,1365,Acornhoek,Mpumalanga,Ehlanzeni (DC32),Acornhoek
11,Ludlow,1365,Thulamahashe,Mpumalanga,Ehlanzeni (DC32),Acornhoek
12,Khokhovela,1367,Acornhoek,Mpumalanga,Ehlanzeni (DC32),Acornhoek
13,Casteel,1370,Acornhoek,Mpumalanga,Ehlanzeni (DC32),Acornhoek
14,Murhotso,1378,Acornhoek,Mpumalanga,Ehlanzeni (DC32),Acornhoek
15,Kwa Nomathamsanqa,6105,Addo,Eastern Cape,Cacadu (DC10),Addo
16,Valentia,6105,Addo,Eastern Cape,Cacadu (DC10),Addo
17,Zwelitsha,6105,Addo,Eastern Cape,Cacadu (DC10),Addo
18,Addo,6105,Addo,Eastern Cape,Cacadu (DC10),Addo
19,Summerville,6107,Addo,Eastern Cape,Cacadu (DC10),Addo
20,Elephant Park,6109,Addo,Eastern Cape,Cacadu (DC10),Addo
21,Sunland,6115,Addo,Eastern Cape,Cacadu (DC10),Addo
22,Bezuidenhoutville,5760,Adelaide,Eastern Cape,Amatole (DC12),Adelaide
23,Ilinge Lethu,5760,Adelaide,Eastern Cape,Amatole (DC12),Adelaide
24,Adelaide,5760,Adelaide,Eastern Cape,Amatole (DC12),Adelaide
25,Mnandi Village,6282,Adendorp,Eastern Cape,Cacadu (DC10),Adendorp
26,Adendorp,6282,ADENDORP,Eastern Cape,Cacadu (DC10),Adendorp
27,Rainbow Village,6695,Albertinia,Western Cape,Eden (DC4),Albertinia
28,Theronsville,6695,Albertinia,Western Cape,Eden (DC4),Albertinia
29,Albertinia,6695,Albertinia,Western Cape,Eden (DC4),Albertinia
30,Gouritsmond,6696,Albertinia,Western Cape,Eden (DC4),Albertinia
31,Meyersdal,1447,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
32,Meyersdal,1448,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
33,Bracken Downs,1448,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
34,Mayberry Park,1448,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
35,Albertsdal,1448,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
36,"Albertsdal Ext 17, 18, 6",1448,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
37,"Bracken Downs Ext 1, 2, 3, 4, 5",1448,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
38,Brackenhurst,1448,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
39,"Brackenhurst Ext 1, 2",1448,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
40,Mabalia,1448,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
41,Mayberry Park Ext 1,1448,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
42,Alberton,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
43,Verwoerdpark,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
44,Verwoerdpark Ext,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
45,Alberton North,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
46,Randhart,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
47,Alberante,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
48,Alberante Ext 1,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
49,Alberton Ext 28,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
50,Elandshaven,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
51,Florentia,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
52,Generaal Albertspark,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
53,New Redruth,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
54,Newmarket,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
55,Newmarket Park,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
56,Newmarket Park Ext 1,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
57,Raceview,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
58,Randhart Ext,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
59,"Randhart Ext 1, 2, 4",1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
60,South Crest,1449,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
61,Alberton,1450,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
62,Alrode,1451,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
63,Alrode Ext 2,1451,Alrode,Gauteng,Ekurhuleni (EKU),Alberton
64,Alrode South Ext 3,1451,ALRODE SOUTH EXT 3,Gauteng,Ekurhuleni (EKU),Alberton
65,Bracken Gardens,1452,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
66,Verwoerdpark,1453,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
67,Verwoerdpark Ext,1453,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
68,Bracken Downs,1454,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
69,Eden Park,1455,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
70,Alberton North,1456,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
71,Randhart,1457,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
72,Eden Park,1458,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
73,Palm Ridge,1458,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
74,Eden Park Ext 1,1458,Alberton,Gauteng,Ekurhuleni (EKU),Alberton
